gen,spec
,0.07230341885488015
1.7189950173900246,0.3825365608880969
0.9933705720074679,0.08255926441351966
,0.09725401198546929
,0.13339399148019793
0.2356417941852193,0.11941105221097498
,0.1768751660048772
1.0397702362133026,0.16098697886135643
,0.07810550207896882
0.9542200900819824,0.1648342475136873
0.7480799450063547,
2.0265543797828407,0.18622470379661188
0.13561096159487762,0.10244506290172048
0.8460479831899232,0.5848466815315851
1.4295262997787916,0.14796631087037665
1.4150067555254995,1.4261941279150019
,0.06087735786549475
1.0381152625730756,1.6572822627795663
0.8383122840420437,0.12061246424516842
,0.12814413169838462
